id,model,architecture,process_size_nm,transistor_count,density_m_per_mm2,die_size_mm2,tdp_w,memory_size_gb,memory_type,launch_price_usd,release_date,tensor_core_count,pixel_rate_gpixel_per_s,texture_rate_gtexel_per_s,fp32_tflops,base_clock_mhz,boost_clock_mhz,foundry
123,Radeon R5 230,TERASCALE 2,40,370,5.5,67,19,1.0,DDR3,,2014-04-03,,2.5,5.0,0.2,,,TSMC
124,GeForce GT 710,FERMI 2.0,40,292,3.7,79,29,1.0,DDR3,,2016-01-26,,1.62,6.48,0.1555,,,TSMC
125,GeForce GT 610,FERMI 2.0,40,292,3.7,79,29,1.0,DDR3,,2012-04-02,,1.62,6.48,0.1555,,,TSMC
126,Radeon RX 6950 XT,RDNA 2.0,7,26800,51.5,520,335,16.0,GDDR6,1099,2022-05-10,,295.7,739.2,23.65,1860,2310,TSMC
127,GeForce GT 640,TESLA,90,681,1.4,484,143,0.625,GDDR3,449,2006-11-08,,10.26,24.62,0.2281,,,TSMC
128,Radeon HD 7950,GCN 1.0,28,4313,12.3,352,200,3.0,GDDR5,449,2012-01-31,,25.6,89.6,2.867,,,TSMC
129,GeForce GTX 650 Ti,KEPLER,28,2540,11.5,221,110,1.0,GDDR5,149,2012-10-09,,14.85,59.39,1.425,,,TSMC
130,Radeon HD 7750,,,,,,,,,,,,,,,,,
131,GeForce GTX 650,KEPLER,28,2540,11.5,221,65,1.0,GDDR5,,2013-11-27,,8.464,33.86,0.8125,,,TSMC
132,Radeon RX 480,GCN 4.0,14,5700,24.6,232,150,8.0,GDDR5,229,2016-06-29,,40.51,182.3,5.834,1120,1266,GLOBALFOUNDRIES
133,Radeon R9 380X,GCN 3.0,28,5000,13.7,366,190,4.0,GDDR5,229,2015-11-19,,31.04,124.2,3.973,,,TSMC
134,Radeon HD 7990,GCN 1.0,28,4313,11.8,365,375,3.0,GDDR5,999,2013-04-24,,32.0,128.0,4.096,950,1000,TSMC
135,Radeon HD 7730,GCN 1.0,28,1500,12.2,123,47,1.0,GDDR5,59,2013-05-01,,6.4,19.2,0.6144,,,TSMC
136,GeForce RTX 4070,ADA LOVELACE,5,35800,121.4,295,200,12,GDDR6X,599,2023-04-12,184,158.4,455.4,29.15,1920,2475,TSMC
