id,model,process_size_nm,transistor_count,die_size_mm2,launch_price_usd,release_date,core_count,thread_count,frequency_ghz,tdp_w,foundry
360,Pentium G5500,14.0,,126,75.0,2018-04-02,2,4,3.8,54.0,INTEL
361,Xeon E5-2420 v2,22.0,1400.0,160,,2013-09-01,6,12,2.2,80.0,INTEL
362,Xeon E5-2620,32.0,2270.0,435,,2012-03-06,6,12,2.0,95.0,INTEL
363,Pentium G6605,14.0,,,,2021-03-16,2,4,4.3,65.0,INTEL
364,Xeon X5650,32.0,1170.0,239,,2010-03-16,6,12,2.666,95.0,INTEL
365,Core i9-7920X,14.0,,,,2017-09-10,12,24,2.9,140.0,INTEL
366,EPYC 7551,14.0,4800.0,213,,2017-06-29,32,64,2.0,180.0,GLOBALFOUNDRIES
367,Xeon E3-1245V2,,,,,,,,,,
368,Core i5-11600K,14.0,,276,,2021-03-16,6,12,3.9,125.0,INTEL
369,Core i7-11700K,14.0,,,,2021-03-16,8,16,3.6,125.0,INTEL
370,Core i5-5675C,14.0,,182,276.0,2015-05-15,4,4,3.1,65.0,INTEL
371,Athlon 200GE,14.0,4950.0,209.8,55.0,2018-09-06,2,4,3.2,35.0,GLOBALFOUNDRIES
372,Core i5-4670K,22.0,1400.0,177,,2013-06-02,4,4,3.4,84.0,INTEL
373,Core i9-12900KF,10.0,,215,564.0,2021-11-04,16,24,3.2,125.0,INTEL
374,Xeon E5-2640,32.0,2270.0,435,,2012-03-06,6,12,2.5,95.0,INTEL
375,Core i5-2320,32.0,1160.0,216,,2011-09-04,4,4,3.0,95.0,INTEL
376,FX 4350,32.0,1200.0,315,,2013-04-29,4,4,4.2,125.0,
377,Athlon X4 840,28.0,2411.0,245,,2014-08-12,4,4,3.1,65.0,GLOBALFOUNDRIES
378,Core i5-9500F,14.0,,,,2019-04-23,6,6,3.0,65.0,INTEL
379,Pentium G3240,,,,,,,,,,
380,Core i5-11600KF,14.0,,276,,2021-03-16,6,12,3.9,125.0,INTEL
381,Core i5-6400,14.0,,177,,2015-07-02,4,4,2.7,65.0,INTEL
382,Pentium G6600,14.0,,,,2020-04-30,2,4,4.2,58.0,INTEL
383,Core i5-10400F,14.0,,,,2020-04-30,6,12,2.9,65.0,INTEL
384,Ryzen Threadripper 1900X,14.0,9600.0,426,549.0,2017-08-31,8,16,3.8,180.0,GLOBALFOUNDRIES
385,A10-7800,28.0,2411.0,245,,2014-07-31,4,4,3.5,65.0,GLOBALFOUNDRIES
386,Xeon E5-1650 v4,14.0,3400.0,246,621.0,2016-06-20,6,12,3.6,140.0,INTEL
387,Core i9-7980XE,14.0,,,,2017-09-01,18,36,2.6,165.0,INTEL
388,A8-9600,28.0,3100.0,250,,2017-07-27,4,4,3.1,65.0,GLOBALFOUNDRIES
389,FX 4130,32.0,1200.0,315,,2013-01-30,4,4,3.8,125.0,
390,Core i7-12700K,10.0,,215,409.0,2021-11-04,12,20,3.6,125.0,INTEL
391,Core i7-4790K,22.0,1400.0,177,350.0,2014-05-01,4,8,4.0,88.0,INTEL
392,A4-3300,32.0,1178.0,228,,2011-09-07,2,2,2.5,65.0,
393,EPYC 7401P,14.0,4800.0,213,,2017-06-29,24,48,2.0,170.0,GLOBALFOUNDRIES
394,Celeron G470,,,,,,,,,,
395,Core i7-11700F,14.0,,276,,2021-03-16,8,16,2.5,65.0,INTEL
396,A6-9500,28.0,3100.0,250,,2016-09-05,2,2,3.5,65.0,GLOBALFOUNDRIES
397,Xeon E5-2640 v4,,,,,,,,,,
398,Core i5-3570,22.0,1400.0,160,194.0,2012-06-01,4,4,3.4,77.0,INTEL
399,Xeon E5-2697 v2,22.0,1400.0,160,,2013-09-01,12,24,2.7,130.0,INTEL
400,Xeon E3-1225V5,,,,,,,,,,
401,EPYC 7302,7.0,3800.0,74,,2019-08-07,16,32,3.0,155.0,TSMC
402,A8-6500,32.0,1303.0,246,,2013-06-01,4,4,3.5,65.0,GLOBALFOUNDRIES
403,Ryzen 3 4300GE,7.0,9800.0,156,,2020-07-21,4,8,3.5,35.0,TSMC
404,Core i9-10900F,14.0,,,,2020-04-30,10,20,2.8,65.0,INTEL
405,Xeon E5-2690 v2,22.0,1400.0,160,,2013-09-01,10,20,3.0,130.0,INTEL
406,A12-9800E,28.0,3100.0,250,,2017-07-27,4,4,3.1,35.0,GLOBALFOUNDRIES
